(2R,3S)-3-Isopropylmalate	CC(C)C(C(C(=O)[O-])O)C(=O)[O-]
(2S)-2-Isopropyl-3-oxosuccinate	CC(C)C(C(=O)C(=O)O)C(=O)O
(2S)-2-[5-amino-1-(5-O-phosphonato-beta-D-ribosyl)imidazole-4-carboxamido]succinate	C1=NC(=C(N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)N)C(=O)NC(CC(=O)[O-])C(=O)[O-]
(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	C1C(CC(=NC1C(=O)O)C(=O)O)O
(R)-2,3-Dihydroxy-3-methylpentanoate	CCC(C)(C(C(=O)[O-])O)O
(R)-2,3-dihydroxy-3-methylbutanoate	CC(C)(C(C(=O)[O-])O)O
(R)-3-Hydroxy-3-methyl-2-oxopentanoate	CCC(C)(C(=O)C(=O)[O-])O
(R)-N6-(S8-acetyldihydrolipoyl)-L-lysine residue	
(R)-N6-dihydrolipoyl-L-lysyl-(protein)	
(R)-N6-lipoyl-L-lysyl-[protein]	
(S)-1-pyrroline-5-carboxylate	C1CC(N=C1)C(=O)O
(S)-2-Aceto-2-hydroxybutanoate	CCC(C(=O)C)(C(=O)O)O
(S)-3-Methyl-2-oxopentanoic acid	CCC(C)C(=O)C(=O)O
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	C1=CC=C(C(=C1)C(=O)O)NCC(=O)C(C(COP(=O)(O)O)O)O
1-(5-Phospho-D-ribosyl)-ATP	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=CN(C2=N)C4C(C(C(O4)COP(=O)(O)O)O)O
1-Deoxy-D-xylulose_5-phosphate	
10-Formyltetrahydrofolate	C1C(NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
13(1)-Hydroxy-magnesium-protoporphyrin_IX_13-monomethyl_ester	
13(1)-Oxo-magnesium-protoporphyrin_IX_13-monomethyl_ester	
15,9'-dicis-Phytofluene	CC(=CCCC(=CCCC(=CCCC(=CC=CC=C(C)C=CC=C(C)CCC=C(C)CCC=C(C)C)C)C)C)C
15-cis-Phytoene	CC(=CCCC(=CCCC(=CCCC(=CC=CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C)C
2,3,4,5-Tetrahydrodipicolinate	C1CC(N=C(C1)C(=O)O)C(=O)O
2,3-Dihydroxy-3-methylbutanoate	CC(C)(C(C(=O)[O-])O)O
2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	C(C1C(C(C(O1)NC2=C(C(=O)NC(=N2)N)N)O)O)OP(=O)(O)O
2-(alpha-Hydroxyethyl)thiamine diphosphate	CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(C)O)CCOP(=O)(O)OP(=O)(O)O
2-Acetolactate	CC(=O)C(C)(C(=O)O)O
2-C-Methyl-D-erythritol_2_4-cyclodiphosphate	
2-C-Methyl-D-erythritol_4-phosphate	
2-Isopropylmaleate	CC(C)C(=CC(=O)O)C(=O)O
2-Methylthio-N6-dimethylallyladenine in tRNA	
