(+)-Bornane-2,5-dione	CC1(C2CC(=O)C1(CC2=O)C)C
(+)-Linalool	CC(=CCCC(C)(C=C)O)C
(+)-exo-5-Hydroxycamphor	CC1(C2CC(=O)C1(CC2O)C)C
(11R)-Carlactonoic acid	CC1=C(C(CCC1)(C)C)C=CC(=COC2C=C(C(=O)O2)C)C(=O)O
(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate	CCCCCC(C=CC=CCC=CCC=CCCCC(=O)O)O
(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene	C1=CC=C2C(C(C=CC2=C1)O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene	C1=CC=C2C(C(C=CC2=C1)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
(1R,2S)-Naphthalene 1,2-oxide	C1=CC=C2C3C(O3)C=CC2=C1
(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate	C1=CC(C(C(=C1)C(=O)CCC(=O)O)C(=O)O)O
(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene	C1=CC=C2C(C(C=CC2=C1)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
(1S,2R)-Naphthalene 1,2-oxide	C1=CC=C2C3C(O3)C=CC2=C1
(2E,4E,6E)-7-Hydroxy-4-methylhepta-2,4,6-trienal	CC(=CC=CO)C=CC=O
(2E,6E)-Farnesol	CC(=CCCC(=CCCC(=CCO)C)C)C
(2R,3S)-3-Isopropylmalate	CC(C)C(C(C(=O)[O-])O)C(=O)[O-]
(2S)-2-Isopropyl-3-oxosuccinate	CC(C)C(C(=O)C(=O)O)C(=O)O
(2S)-2-[5-amino-1-(5-O-phosphonato-beta-D-ribosyl)imidazole-4-carboxamido]succinate	C1=NC(=C(N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)N)C(=O)NC(CC(=O)[O-])C(=O)[O-]
(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate	CC(C(CC(=O)[O-])C(=O)[O-])(C(=O)[O-])O
(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA	CC(C(C)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	C1C(CC(=NC1C(=O)O)C(=O)O)O
(3R)-3-Hydroxyacyl-[acyl-carrier protein]	C(CO)C(=O)S
(3Z)-Phytochromobilin	CC=C1C(C(=O)NC1=CC2=C(C(=C(N2)C=C3C(=C(C(=CC4=NC(=O)C(=C4C)C=C)N3)C)CCC(=O)O)CCC(=O)O)C)C
