name,country,latitude,longitude,Long-read technology,Admixture Group,Accession ID,Sequenced by,Loc ID,collector,collection_date,cs_number,Y,plt_color,Altitude,Code,Ecotype_id,pk,species,genotypes,count_phenotypes,Synchrotron data ID,latlon
Ishikawa,Japan,36.66,136.65,Pacbio HiFi,Asia,,,,,,,,,,,,,,,,,"(36.66, 136.65)"
Kyr-1,Kyrgyzstan,40.05,72.6,Pacbio HiFi,Asia,,,,,,,,,,,,,,,,,"(40.05, 72.6)"
Sah-0,Spain,40.44,-3.7,Pacbio HiFi,Africa,,,,,,,,,,,,,,,,,"(40.44, -3.7)"
Sus-1,Kyrgyzstan,42.19,73.41,Pacbio HiFi,Asia,,,,,,,,,,,,,,,,,"(42.19, 73.41)"
N13,Russia,62.13,34.02,Pacbio HiFi,Asia,,,,,,,,,,,,,,,,,"(62.13, 34.02)"
Tul-0,USA,43.27,-85.26,Pacbio HiFi,Europe,,,,,,,,,,,,,,,,,"(43.27, -85.26)"
Tanz-1,Tanzania,-2.87,36.12,Pacbio HiFi,Africa,,,,,,,,,,,,,,,,,"(-2.87, 36.12)"
Taz-0,Morocco,34.09,-4.1,Pacbio HiFi,Africa,,,,,,,,,,,,,,,,,"(34.09, -4.1)"
ws-4,Belarus,53.92,27.57,Pacbio HiFi,Europe,,,,,,,,,,,,,,,,,"(53.92, 27.57)"
Zin9,Morocco,35.45,-5.43,Pacbio HiFi,Africa,,,,,,,,,,,,,,,,,"(35.45, -5.43)"
Are-1,Portugal,32.74,-16.93,Oxford Nanopore,Madeira,,,,,,,,,,,,,,,,,"(32.74, -16.93)"
Are-2,Portugal,32.74,-16.93,Oxford Nanopore,Madeira,,,,,,,,,,,,,,,,,"(32.74, -16.93)"
Are-6,Portugal,32.74,-16.93,Oxford Nanopore,Madeira,,,,,,,,,,,,,,,,,"(32.74, -16.93)"
Bay-0,Germany,49.95,11.57,Oxford Nanopore,Europe,,,,,,,,,,,,,,,,,"(49.95, 11.57)"
Bla-1,Spain,41.68,2.79,Oxford Nanopore,Europe,,,,,,,,,,,,,,,,,"(41.68, 2.79)"
Bur-0,Ireland,53.87,-9.39,Oxford Nanopore,Europe,,,,,,,,,,,,,,,,,"(53.87, -9.39)"
Col-0,Poland,52.74,15.24,Oxford Nanopore,Europe,,,,,,,,,,,,,,,,,"(52.74, 15.24)"
Jea,France,43.69,7.33,Oxford Nanopore,Europe,,,,,,,,,,,,,,,,,"(43.69, 7.33)"
Shahdara,Tajikistan,38.59,68.79,Oxford Nanopore,Asia,,,,,,,,,,,,,,,,,"(38.59, 68.79)"
Tsu-0,Japan,34.73,136.5,Oxford Nanopore,Europe,,,,,,,,,,,,,,,,,"(34.73, 136.5)"
Yo-0,USA,37.75,-119.58,Oxford Nanopore,Europe,,,,,,,,,,,,,,,,,"(37.75, -119.58)"
