cyano_met_id,kegg_id
10fthf_c[c],C00234
13dpg_c[c],C00236
14dh2napcoa_c[c],C15547
15dap_c[c],C01672
15gl_c[c],C00198
1p3h5c_c[c],C04281
1pyr5c_c[c],C03912
23dhdp_c[c],C03340
23dhmb_c[c],C04039
23dhmp_c[c],C06007
23dmphol_c[c],C15883
lipidX_c[c],C04824
25aics_c[c],C04823
orn_c[c],C00077
25dhpp_c[c],C01304
26dap-LL_c[c],C00666
26dap-M_c[c],C00680
2a3o4pob_c[c],C07335
2ahbut_c[c],C06006
2ahhmd_c[c],C04807
2ahhmp_c[c],C01300
2cpr5p_c[c],C01302
2dda7p_c[c],C04691
2dhp_c[c],C00966
2dr5p_c[c],C00673
2h3oppan_c[c],C01146
2hetdp_c[c],C05125
2ippm_c[c],C02631
2m6phol_c[c],C15882
2m6solbzq_c[c],C17570
2me4p_c[c],C11434
2mecdp_c[c],C11453
2mm_c[c],C02226
2mm-R_c[c],C02612
2o3h4pbut_c[c],C06054
2obut_c[c],C00109
2p4c2me_c[c],C11436
2pg_c[c],C00631
2pglyc_x[x],C00988
2pglyc_c[c],C00988
2sephchc_c[c],C16519
2shchc_c[c],C05817
db4p_c[c],C15556
34hpp_c[c],C01179
3a2oprop_c[c],C11638
3c2hmp_c[c],C04411
3c3hmp_c[c],C02504
3c4mop_c[c],C04236
3dhq_c[c],C00944
3dhsk_c[c],C02637
3hbcoa-R_c[c],C03561
3hbutACP_c[c],C04618
3hddecACP_c[c],C05757
3hdecACP_c[c],C04619
3hhexACP_c[c],C05747
3hmop_c[c],C14463
3hmrsACP_c[c],C04688
3hoctACP_c[c],C04620
3hoctaACP_c[c],C16220
3hpalmACP_c[c],C04633
3ig3p_c[c],C03506
3mob_c[c],C00141
3mop_c[c],C00671
3nphb_c[c],C03885
3oddecACP_c[c],C05756
3odecACP_c[c],C05753
3ohexACP_c[c],C05746
3omrsACP_c[c],C05759
3ooctACP_c[c],C05750
3opalmACP_c[c],C05762
3ooctdACP_c[c],C16219
3pg_x[x],C00197
3pg_c[c],C00197
3php_c[c],C03232
3psme_c[c],C01269
46dd4odtdpglc_c[c],C11907
4abut_c[c],C00334
4abz_c[c],C00568
4adcho_c[c],C11355
4a-hthptn_c[c],C15522
4c2me_c[c],C11435
4gudbd_c[c],C03078
4gudbutn_c[c],C01035
4h2oglt_c[c],C05946
4hbz_c[c],C00156
4hpro-LT_c[c],C01157
4mop_c[c],C00233
4pasp_c[c],C03082
4pen_c[c],C03393
4ppan_c[c],C03492
4ppcys_c[c],C04352
4r5au_c[c],C04732
5aizc_c[c],C04751
5aop_c[c],C00430
5aprbu_c[c],C04454
5apru_c[c],C01268
5ca1rpi_c[c],C15667
5drib_c[c],C22288
5drib_e[e],C22288
5fthf_c[c],C03479
5g2op_c[c],C03771
5mdr1p_c[c],C04188
5mdru1p_c[c],C04582
5mdru1p_e[e],C04582
5mta_c[c],C00170
5mthf_c[c],C00440
pmcoa_c[c],C01063
6pgc_c[c],C00345
6pgl_c[c],C01236
78dhptn_c[c],C02953
8aonn_c[c],C01092
aacoa_c[c],C00332
ac_c[c],C00033
ac_p[p],C00033
ac_e[e],C00033
acACP_c[c],C03939
acald_c[c],C00084
accoa_c[c],C00024
acg5p_c[c],C04133
acg5sa_c[c],C01250
acgam1p_c[c],C04501
acglu_c[c],C00624
achms_c[c],C01077
acon_c[c],C00417
acorn_c[c],C00437
ACP_c[c],C00229
acser_c[c],C00979
actACP_c[c],C05744
actp_c[c],C00227
adcobdam_c[c],C06506
adcobhex_c[c],C06507
adocbi_c[c],C06508
ade_c[c],C00147
adn_c[c],C00212
adocbip_c[c],C06509
adocbl_c[c],C00194
adp_c[c],C00008
adpglc_c[c],C00498
adprib_c[c],C00301
agdpcbi_c[c],C06510
agm_c[c],C00179
ahcys_c[c],C00021
ahdt_c[c],C04895
aicar_c[c],C04677
air_c[c],C03373
akg_c[c],C00026
akg_p[p],C00026
akg_e[e],C00026
alaala_c[c],C00993
ala-B_c[c],C00099
alac-S_c[c],C00900
ala-D_c[c],C00133
ala-L_c[c],C00041
ala-L_p[p],C00041
ala-L_e[e],C00041
alatrna_c[c],C00886
amet_c[c],C00019
ametam_c[c],C01137
amp_c[c],C00020
amylose_c[c],C00718
anth_c[c],C00108
applp_c[c],C04122
AppppA_c[c],C01260
aps_c[c],C00224
aptrc_c[c],C02714
arg-L_c[c],C00062
arg-L_p[p],C00062
arg-L_e[e],C00062
argsuc_c[c],C03406
argtrna_c[c],C02163
arsn_c[c],C06697
arsni_c[c],C11215
asn-L_c[c],C00152
asntrna_c[c],C03402
asp-L_c[c],C00049
aspsa_c[c],C00441
asptrna(asn)_c[c],C06113
asptrna_c[c],C02984
atocophe_c[c],C02477
atp_c[c],C00002
bcarote_c[c],C02094
bcryptox_c[c],C08591
biliverd_c[c],C00500
btn_c[c],C00120
btocophe_c[c],C14152
but2eACP_c[c],C04246
butACP_c[c],C05745
ca2_c[c],C00076
ca2_p[p],C00076
ca2_e[e],C00076
camp_c[c],C00575
cbasp_c[c],C00438
cbp_c[c],C00169
cdp_c[c],C00112
cdpglc_c[c],C00501
35cgmp_c[c],C00942
chlld_c[c],C02139
choles_c[c],C00187
cholphya_c[c],C05306
chor_c[c],C00251
cit_p[p],C00158
cit_e[e],C00158
cit_c[c],C00158
citr-L_c[c],C00327
cmp_c[c],C00055
cn_c[c],C00177
co_c[c],C00237
co_e[e],C00237
co1dam_c[c],C06505
co2_x[x],C00011
co2_c[c],C00011
co2_e[e],C00011
co2_p[p],C00011
co2dam_c[c],C06504
coa_c[c],C00010
cobalt2_c[c],C00175
cobalt2_p[p],C00175
cobalt2_e[e],C00175
cpppg3_c[c],C03263
cresol_c[c],C01468
cresol_e[e],C01468
csn_c[c],C00380
ctp_c[c],C00063
cu2_c[c],C00070
cu2_p[p],C00070
cu2_e[e],C00070
cu2_u[u],C00070
cyanphy_c[c],C19709
cynt_c[c],C01417
cynt_p[p],C01417
cynt_e[e],C01417
cgly_c[c],C01419
cys-L_c[c],C00097
cystrna_c[c],C03125
cytd_c[c],C00475
dad-5_c[c],C05198
dadp_c[c],C00206
dadsn_c[c],C00559
damp_c[c],C00360
dann_c[c],C01037
datp_c[c],C00131
dcaACP_c[c],C05755
dcamp_c[c],C03794
dcdp_c[c],C00705
dcpl_c[c],C00449
dctp_c[c],C00458
ddcaACP_c[c],C05223
