reaction_id,model,db,model_id,is_transp,in_pcm,ec,inChlVirid,uniprGpr,max_evid,evid_brenda,model_gpr,Solanum_lycopersicum,Nicotiana_glauca,Vigna_aconitifolia,Sorghum_bicolor,Triphysaria_versicolor,Vitis_vinifera,Castilleja_foliolosa,Pueraria_montana,Lotus_japonicus,Ipomoea_batatas,Centaurea_solstitialis,Triticum_aestivum,Nicotiana_tabacum,Chlorella_vulgaris,Apostasia_shenzhenica,Genlisea_aurea,Marchantia_polymorpha_subsp._ruderalis,Punica_granatum,Ricinus_communis,Citrus_unshiu,Saccharum_hybrid,Populus_alba_x_Populus_x,Prunus_yedoensis,Tetracentron_sinense,Cucurbita_maxima,Deinandra_increscens,Trifolium_pratense,Eriobotrya_japonica,Medicago_truncatula,Nicotiana_sylvestris,Zea_mays,Prunus_armeniaca,Musa_troglodytarum,Leucosceptrum_canum,Crocus_sativus,Prunus_salicina,Secale_cereale,Tanacetum_cinerariifolium,Handroanthus_impetiginosus,Populus_canescens,Ostreococcus_tauri,Lithospermum_erythrorhizon,Prasiola_cf_delicata,Striga_hermonthica,Physcomitrium_patens,Linum_tenue,Monoraphidium_neglectum,Carpinus_fangiana,Marchantia_polymorpha,Cucumis_sativus,Arabidopsis_thaliana,Mesostigma_viride,Rhododendron_williamsianum,Umbellularia_californica,Citrus_sinensis,Gossypium_hirsutum,Nicotiana_glutinosa,Glycine_max,Trapa_natans,Hevea_brasiliensis,Stylosanthes_scabra,Oryza_sativa,Brassica_campestris,Musa_balbisiana,Brassica_napus,Salvia_divinorum,Lolium_perenne,Solanum_commersonii,Cajanus_cajan,Prasiola_borealis,Humulus_lupulus,Panax_ginseng,Zingiber_officinale,Populus_tomentosa,Pisum_sativum,Cucumis_melo,Glycine_soja,Populus_trichocarpa,Micractinium_conductrix,Cannabis_sativa,Arabidopsis_arenosa,Chlorella_sorokiniana,Cucurbita_moschata,Cinnamomum_camphora,Tetratostichococcus_jenerensis,Populus_alba,pcm_gpr
R00209,"aragem, maize, cam, cam, potato, mintzOron",kegg,"{'aragem': ['R00209_p'], 'maize': ['rxn20656_d0'], 'cam': ['PYRUVDEH_RXN_p2', 'PYRUVDEH_RXN_p1'], 'potato': ['PDHh'], 'mintzOron': ['rxn551_p']}",False,False,['1.2.1.104'],[0],{},0,True,"('aragem', 'AT1G34430 or AT1G48030 or AT1G54220 or AT3G13930 or AT3G16950 or AT3G17240 or AT3G52200 or AT4G16155')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00238,"aragem, maize, poplar, rice",kegg,"{'aragem': ['R00238_p'], 'maize': ['rxn31209_d0'], 'poplar': ['ACETYL_COA_ACETYLTRANSFER_RXN_p'], 'rice': ['ACACTs']}",False,False,"['2.3.1.9', '2.3.1.16']","[0, 0]",{},0,False,"('aragem', 'AT5G48230')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R01624,"aragem, rice",kegg,"{'aragem': ['R01624_p'], 'rice': ['ACOATAs']}",False,False,"['2.3.1.38', '2.3.1.85', '2.3.1.86']","[1, 0, 0]",{'Chlorella sorokiniana (Freshwater green alga)': 'A0A2P6U556'},1,True,"('aragem', 'AT1G62640 or AT2G04540')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2P6U556,,,,,A0A2P6U556
R01641,"aragem, maize, Sobliquus, aracore, panAlgae, potato, Cohadii, rice, mintzOron",kegg,"{'aragem': ['R01641_p'], 'maize': ['rxn27495_d0'], 'Sobliquus': ['rxn01200_d0'], 'aracore': ['STK_h'], 'panAlgae': ['NanoG0518'], 'potato': ['STK_h'], 'Cohadii': ['1TRANSKETO-RXN'], 'rice': ['TKT1s'], 'mintzOron': ['rxn29_p']}",False,False,['2.2.1.1'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g60750 or At2g45290'},2,True,"('aragem', 'AT2G45290 or AT3G60750')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g60750 or At2g45290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g60750 or At2g45290
R02110,"aragem, Cohadii, rice",kegg,"{'aragem': ['R02110_p'], 'Cohadii': ['RXN-7710'], 'rice': ['AGSs']}",False,False,['2.4.1.18'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g03650 or At3g20440 or At2g36390', 'Oryza sativa subsp. japonica (Rice)': 'Os06g0726400 LOC_Os06g51084'}",2,True,"('aragem', 'AT2G36390 or AT5G03650')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g03650 or At3g20440 or At2g36390,,,,,,,,,,,Os06g0726400,,,,,,,,,,,,,,,,,,,,,,,,,At5g03650 or At3g20440 or At2g36390
R02111,"aragem, mintzOron",kegg,"{'aragem': ['R02111_p'], 'mintzOron': ['rxn695_p']}",False,False,['2.4.1.1'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g29320'},2,True,"('aragem', 'AT3G29320 or AT3G46970')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g29320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g29320
R02164,aragem,kegg,{'aragem': ['R02164_p']},False,False,['1.3.5.1'],[1],{'Oryza sativa subsp. japonica (Rice)': 'Os08g0120000'},1,False,"('aragem', 'AT2G18450 or AT3G27380 or AT5G40650 or AT5G65165 or AT5G66760')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Os08g0120000,,,,,,,,,,,,,,,,,,,,,,,,,Os08g0120000
R04355,"aragem, panAlgae, rice",kegg,"{'aragem': ['R04355_p'], 'panAlgae': ['NanoG0785'], 'rice': ['ACMAT1s']}",False,False,"['2.3.1.41', '2.3.1.85', '2.3.1.86', '2.3.1.179']","[2, 0, 0, 0]",{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g74960 or At5g46290'},2,True,"('aragem', 'AT1G62640 or AT2G04540')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g74960 or At5g46290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g74960 or At5g46290
R01788,"aragem, maize, Sobliquus",kegg,"{'aragem': ['R01788_p'], 'maize': ['rxn31313_d0'], 'Sobliquus': ['rxn15250_d0']}",False,False,['3.1.3.9'],[0],{},0,False,"('maize', 'Unknown')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00149,"aragem, maize, rice, mintzOron",kegg,"{'aragem': ['R00149_p'], 'maize': ['rxn31319_d0'], 'rice': ['CBPSs'], 'mintzOron': ['rxn124_p']}",False,False,['6.3.4.16'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g29900', 'Oryza sativa subsp. japonica (Rice)': 'Os01g0570700 LOC_Os01g38970'}",2,False,"('aragem', 'AT1G29900')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g29900,,,,,,,,,,,Os01g0570700,,,,,,,,,,,,,,,,,,,,,,,,,At1g29900
R05875,"aragem, mintzOron",kegg,"{'aragem': ['R05875_p'], 'mintzOron': ['rxn896_p']}",False,False,"['1.18.1.3', '1.18.1.7']","[0, 0]",{},0,False,"('', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00021,"aragem, poplar, cam, cam, soy, aracore, panAlgae, potato, Cohadii, rice, mintzOron",kegg,"{'aragem': ['R00021_p'], 'poplar': ['GLUTAMATE_SYNTHASE_FERREDOXIN_RXN_p'], 'cam': ['GLUTAMATE_SYNTHASE_FERREDOXIN_RXN_p2', 'GLUTAMATE_SYNTHASE_FERREDOXIN_RXN_p1'], 'soy': ['GLUTAMATE-SYNTHASE-FERREDOXIN-RXN_p'], 'aracore': ['GluSFd_h'], 'panAlgae': ['NanoG0007'], 'potato': ['GluSFd_h'], 'Cohadii': ['GLUTAMATE-SYNTHASE-FERREDOXIN-RXN'], 'rice': ['GLUSfs'], 'mintzOron': ['rxn331_p']}",False,True,['1.4.7.1'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At2g41220 or At5g04140', 'Oryza sativa subsp. japonica (Rice)': 'Os07g0658400 LOC_Os07g46460'}",2,True,"('aragem', 'AT2G41220 or AT5G04140')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At2g41220 or At5g04140,,,,,,,,,,,Os07g0658400,,,,,,,,,,,,,,,,,,,,,,,,,At2g41220 or At5g04140
