,Number of gene families,Number of EC numbers,Number of reactions
Acer yangbiense,1033,255,1225
Adiantum capillus-veneris,934,204,1122
Arabidopsis thaliana,1211,342,1717
Asparagus officinalis,932,206,1202
Benincasa hispida,1156,290,1235
Brachypodium distachyon,1040,234,1220
Camellia sinensis,901,194,1184
Cannabis sativa,1149,292,1273
Capsicum annuum,819,203,1207
Dioscorea alata,1154,279,1273
Eucalyptus grandis,1180,277,1383
Gossypium australe,961,233,1195
Helianthus annuus,1230,305,1304
Hevea brasiliensis,732,166,1188
Lotus japonicus,1165,267,1248
Marchantia polymorpha,872,177,1084
Medicago truncatula,1205,298,1306
Nicotiana tabacum,1294,316,1323
Nymphaea colorata,1093,261,1224
Oryza sativa,1484,327,1373
Papaver somniferum,1185,290,1254
Phoenix dactylifera,1051,257,1263
Physcomitrium patens,1215,245,1139
Pisum sativum,1189,269,1272
Populus deltoides,1191,284,1328
Salvia hispanica,1117,282,1283
Setaria viridis,1470,318,1319
Solanum lycopersicum,1145,283,1279
Solanum tuberosum,1142,281,1236
Taxus chinensis,521,131,1071
Tetracentron sinense,937,221,1230
Thlaspi arvense,849,220,1422
Tripterygium wilfordii,1184,297,1274
Triticum aestivum,1713,377,1369
Vitis riparia,1218,294,1331
Zea mays,995,244,1286
Zingiber officinale,1385,315,1326
