model,Number of non-transporting chloroplast reactions,Number of Intra-chloroplast transporters,Number of reactions of chloroplast model,Number of chloroplast-cytosol transporters,Number of reactions of full model,Number of stroma metabolites,Number of thylakoid metabolites,Total number of chloroplast metabolites,Number genes mapped to chloroplast reactions,Number of subsystem definitions,Number of chloroplast compartments,Chloroplast compartment IDs,Fraction of reactions without database evidence,Fraction of reactions without database evidence normalized by number of reactions,DOI
AraGEM,93,0,93,31,1601,105,0,105,168,0,1,p,0.16417910447761194,0.0017653667148130317,10.1104/pp.109.148817
C. ohadii,366,15,381,183,2516,463,122,585,244,258,2,"ch,th",0.2893081761006289,0.0007593390448835405,10.1111/nph.70528
CAM,396,9,405,120,1312,412,2,414,583,65,4,"p1,p2,l1,l2",0.11382113821138211,0.0002810398474355114,10.1038/s41477-018-0112-2
AraCore,195,5,200,60,585,182,1,183,372,53,2,"h,l",0.1907514450867052,0.000953757225433526,10.1104/pp.114.235358
Soybean,286,0,286,79,3001,290,0,290,1168,0,1,p,0.11052631578947368,0.00038645564961354434,10.1104/pp.19.00122
S. obliquus,409,1,410,142,1467,423,0,423,390,0,1,d0,0.17647058823529413,0.00043041606886657106,10.1021/acssynbio.3c00516
Pan-Algae,570,21,591,95,788,582,54,660,774,66,3,"h,s,u",0.32362459546925565,0.0005475881480021247,10.1371/journal.pone.0229408
Potato,487,277,764,311,7092,341,1,553,610,0,5,"h,hm,ohm,pg,l",0.14444444444444443,0.0001890634089586969,10.1073/pnas.2502160122
Mintz-Oron,617,0,617,177,2769,600,0,600,920,133,1,Plastid,0.4396728016359918,0.0007125977336077664,10.1073/pnas.1100358109
Poplar,1580,2,1582,352,9440,1818,1,1824,5408,0,3,"p,t,i",0.5334323922734027,0.00033718861711340246,10.1111/tpj.14746
Rice,577,41,618,118,2444,500,27,527,880,53,2,"s,u",0.29539951573849876,0.0004779927439134284,10.1104/pp.15.01379
Maize,1108,0,1108,127,6508,1155,0,1155,2440,0,1,d0,0.4166666666666667,0.00037605294825511433,10.3389/fpls.2015.00142
PCM,1359,469,1828,85,1981,1285,1,1495,1569,427,5,"h,hm,ohm,pg,l",0.43676814988290397,0.00023893224829480523,This manuscript
