Species of which genomic sequences were used for the initial draft of the PCM by source.,,
,,
Taxonomy clustering,Clustering of rbcL,Model organisms
Salvia hispanica,Achillea millefolium,Arabidopsis thaliana
Papaver somniferum,Allium prattii,Medicago truncatula
Physcomitrium patens,Amphicarpaea edgeworthii,Setaria viridis
Catharanthus roseus,Anemone occidentalis,Zea mays
Phoenix dactylifera,Bougainvillea glabra,Brachypodium distachyon
Beta vulgaris subsp. vulgaris,Caulerpa lentillifera,Nicotiana tabacum
Vitis riparia,Chloroparvula japonica,Solanum lycopersicum
Triticum aestivum,Chloroparvula pacifica,Lotus japonicus
Taxus chinensis,Chloropicon sieburthii,Oryza sativa
Tripterygium wilfordii,Cucumis sativus,Solanum tuberosum
Amborella trichopoda,Derbesia sp. WEST4838,Marchantia polymorpha
Adiantum capillus-veneris,Jaltomata sinuosa,Populus deltoides
Apium graveolens,Jenufa perforata,Volvox carteri
Scenedesmus sp. PABB00446,Juncus gracilicaulis,
Lithospermum erythrorhizon,Magnolia kobus,
Eucalyptus grandis,Mallotus paniculatus,
Benincasa hispida,Nepenthes ventricosa x Nepenthes alata,
Thlaspi arvense,Nymphoides peltata,
Asparagus officinalis,Paeonia suffruticosa,
Nelumbo nucifera,Pharus latifolius,
Gossypium australe,Pyramimonas parkeae CCMP 726,
Nymphaea colorata,Rubus coreanus,
Aristolochia fimbriata,Selaginella bisulcata,
Chloropicon primus,Selaginella doederleinii,
Acer yangbiense,Selaginella sanguinolenta,
Capsicum annuum,Senegalia senegal,
Chlamydomonas reinhardtii,Solanum aturense,
Coccomyxa sp. Obi,Sparganium hyperboreum,
Ceratodon purpureus,Stigeoclonium helveticum UTEX 441,
Hevea brasiliensis,Takakia lepidozioides,
Pisum sativum,Teucrium mascatense,
Zingiber officinale,Trentepohlia odorata,
Cannabis sativa,Uronema confervicola,
Chlorella vulgaris,Verdigellas peltata,
Micromonas commoda,,
Quercus lobata,,
Camellia sinensis,,
Tetracentron sinense,,
Spirodela intermedia,,
Helianthus annuus,,
Dioscorea alata,,
