accession/condition,NCBI accessions
11C1,"SRR3461916;SRR3461916, SRR3461917, SRR3461918, SRR3461919, SRR3461920, SRR3461921, SRR3461922, SRR3461923, SRR3461924, SRR3461925, SRR3461926"
Abd-0,"SRR25391317;SRR25391317;SRR25391309;SRR25391307;SRR25391303;SRR25391302;SRR25391391;SRR25391390;SRR25391383;SRR25391381;SRR25391380;SRR25391375;SRR25391374;SRR25391343;SRR25391342;SRR25391341;SRR25391333;SRR25391330;SRR25391326;SRR25391410;SRR25391399;SRR25391317, SRR25391309, SRR25391307, SRR25391303, SRR25391302, SRR25391391, SRR25391390, SRR25391383, SRR25391381, SRR25391380, SRR25391375, SRR25391374, SRR25391343, SRR25391342, SRR25391341, SRR25391333, SRR25391330, SRR25391326, SRR25391410, SRR25391399"
Ah-7,CRR624278;CRR624278;CRR624278
Altai-5,SRR748582;SRR748582;SRR748582;SRR748582;SRR748582
An-1,"SRR748584;SRR748584;SRR748585;SRR748584;SRR748585;SRR748584;SRR748585;SRR748584, SRR748585"
Anz-0,"SRR748591;SRR748591;SRR3463445;SRR3463446;SRR3463447;SRR3463448;SRR3463449;SRR3463450;SRR3463451;SRR748591, SRR3463445, SRR3463446, SRR3463447, SRR3463448, SRR3463449, SRR3463450, SRR3463451"
Arb-0,CRR624283;CRR624283
Bay-0,"SRR23878510;SRR23878510;SRR23878431;SRR23878665;SRR23878540;SRR7764327;SRR7764280;SRR7764143;SRR7763995;SRR7764037;SRR7764109;SRR7764305;SRR7764310;SRR7764275;SRR7763986;SRR7764072;SRR7764325;SRR7764122;SRR7764255;SRR7764252;SRR7764292;SRR23878510;SRR23878431;SRR23878665;SRR23878540;SRR7764327;SRR7764280;SRR7764143;SRR7763995;SRR7764037;SRR7764109;SRR7764305;SRR7764310;SRR7764275;SRR7763986;SRR7764072;SRR7764325;SRR7764122;SRR7764255;SRR7764252;SRR7764292;SRR23878510;SRR23878431;SRR23878665;SRR23878540;SRR7764327;SRR7764280;SRR7764143;SRR7763995;SRR7764037;SRR7764109;SRR7764305;SRR7764310;SRR7764275;SRR7763986;SRR7764072;SRR7764325;SRR7764122;SRR7764255;SRR7764252;SRR7764292;SRR23878510, SRR23878431, SRR23878665, SRR23878540, SRR7764327, SRR7764280, SRR7764143, SRR7763995, SRR7764037, SRR7764109, SRR7764305, SRR7764310, SRR7764275, SRR7763986, SRR7764072, SRR7764325, SRR7764122, SRR7764255, SRR7764252, SRR7764292"
Belmonte-4-94,CRR624277;CRR624277;CRR624277
Bla-1,"SRR748599;SRR748599;SRR3461207;SRR3461208;SRR3461209;SRR3461210;SRR3461211;SRR3461212;SRR3461213;SRR3461214;SRR3461215;SRR3461216;SRR3461217;SRR3461218;SRR3461219;SRR3461220;SRR3461221;SRR23878481;SRR23878667;SRR23878566;SRR23878370;SRR748599;SRR3461207;SRR3461208;SRR3461209;SRR3461210;SRR3461211;SRR3461212;SRR3461213;SRR3461214;SRR3461215;SRR3461216;SRR3461217;SRR3461218;SRR3461219;SRR3461220;SRR3461221;SRR23878481;SRR23878667;SRR23878566;SRR23878370;SRR748599;SRR3461207;SRR3461208;SRR3461209;SRR3461210;SRR3461211;SRR3461212;SRR3461213;SRR3461214;SRR3461215;SRR3461216;SRR3461217;SRR3461218;SRR3461219;SRR3461220;SRR3461221;SRR23878481;SRR23878667;SRR23878566;SRR23878370;SRR748599, SRR3461207, SRR3461208, SRR3461209, SRR3461210, SRR3461211, SRR3461212, SRR3461213, SRR3461214, SRR3461215, SRR3461216, SRR3461217, SRR3461218, SRR3461219, SRR3461220, SRR3461221, SRR23878481, SRR23878667, SRR23878566, SRR23878370"
Blh-1,ERR1588793;ERR1588793;ERR1588793
Bon-1,"SRR1162164;SRR1162164;SRR1162165;SRR1162164;SRR1162165;SRR1162164, SRR1162165;SRR1162164;SRR1162165"
Bor-1,"SRR3459594;SRR3459594;SRR3459595;SRR3459596;SRR3459597;SRR3459598;SRR3459599;SRR3459600;SRR3459601;SRR3459602;SRR3459603;SRR3459604;SRR3459605;SRR3459606;SRR3459607;SRR3459608;SRR3459594, SRR3459595, SRR3459596, SRR3459597, SRR3459598, SRR3459599, SRR3459600, SRR3459601, SRR3459602, SRR3459603, SRR3459604, SRR3459605, SRR3459606, SRR3459607, SRR3459608"
