psbA|GeneID:4055636|photosystem_II_protein_D1	AtCg00020	99.7	1.49e-264	713	1840	353	354	353
psbK|GeneID:4055642|photosystem_II_protein_K	AtCg00070	80.3	1.31e-27	90.5	223	59	62	61
psbI|GeneID:4055643|photosystem_II_protein_I	AtCg00080	100	2.42e-20	70.5	171	36	37	36
psbM|GeneID:4055647|photosystem_II_protein_M	AtCg00220	100	6.97e-17	61.6	148	34	35	34
atpI|GeneID:4055576|ATP_synthase_CF0_A_subunit	AtCg00150	93.2	7.44e-169	462	1189	247	250	249
atpH|GeneID:4055577|ATP_synthase_CF0_C_subunit	AtCg00140	98.8	5.85e-47	140	354	81	82	81
atpF|GeneID:4055578|ATP_synthase_CF0_B_subunit	AtCg00130	85.9	1.47e-107	302	773	184	185	184
atpA|GeneID:4055579|ATP_synthase_CF1_alpha_subunit	AtCg00120	93.9	0.0	892	2304	508	508	505
psbD|GeneID:4055584|photosystem_II_protein_D2	AtCg00270	98.9	9.34e-268	721	1861	353	354	353
psbC|GeneID:4055585|photosystem_II_44_kDa_protein	AtCg00280	98.3	0.0	971	2511	473	474	473
psbZ|GeneID:4055587|photosystem_II_protein_Z	AtCg00300	95.2	3.05e-36	112	280	62	63	62
psaB|GeneID:4055591|photosystem_I_P700_chlorophyll_a_apoprotein_A2	AtCg00340	97.7	0.0	1508	3904	734	735	734
psaA|GeneID:4055592|photosystem_I_P700_chlorophyll_a_apoprotein_A1	AtCg00350	97.5	0.0	1516	3925	750	751	750
ndhJ|GeneID:4055701|NADH_dehydrogenase_subunit_J	AtCg00420	89.2	7.56e-111	308	789	158	159	158
ndhK|GeneID:4055702|NADH_dehydrogenase_subunit_K	AtCg00430	89.3	5.43e-146	402	1034	225	226	225
ndhK|GeneID:4055702|NADH_dehydrogenase_subunit_K	GRMZM2G448142_T01.CDS	83.3	4.06e-134	374	959	225	255	227
ndhC|GeneID:4055703|NADH_dehydrogenase_subunit_3	AtCg00440	89.2	2.82e-72	207	528	120	121	120
atpE|GeneID:4055707|ATP_synthase_CF1_epsilon_subunit	AtCg00470	93.2	8.71e-82	233	593	133	133	132
atpB|GeneID:4055708|ATP_synthase_CF1_beta_subunit	AtCg00480	93.6	0.0	899	2324	498	499	498
atpB|GeneID:4055708|ATP_synthase_CF1_beta_subunit	GRMZM2G385622_T01.CDS	91.4	0.0	885	2286	498	499	498
atpB|GeneID:4055708|ATP_synthase_CF1_beta_subunit	GRMZM5G808402_T01.CDS	91.4	0.0	885	2286	498	499	498
atpB|GeneID:4055708|ATP_synthase_CF1_beta_subunit	GRMZM2G448389_T01.CDS	91.2	0.0	883	2282	498	499	498
atpB|GeneID:4055708|ATP_synthase_CF1_beta_subunit	GRMZM2G062854_T01.CDS	91.0	2.18e-267	729	1881	498	410	409
atpB|GeneID:4055708|ATP_synthase_CF1_beta_subunit	GRMZM2G448142_T03.CDS	95.7	9.77e-248	681	1756	498	449	368
atpB|GeneID:4055708|ATP_synthase_CF1_beta_subunit	GRMZM2G448142_T02.CDS	95.7	9.77e-248	681	1756	498	449	368
rbcL|GeneID:4055709|ribulose	AtCg00490	93.7	0.0	925	2390	485	480	476
rbcL|GeneID:4055709|ribulose	GRMZM2G360821_T01.CDS	93.5	0.0	921	2380	485	484	476
rbcL|GeneID:4055709|ribulose	GRMZM2G385635_T01.CDS	93.5	0.0	921	2380	485	484	476
rbcL|GeneID:4055709|ribulose	GRMZM2G448344_T01.CDS	93.5	0.0	921	2380	485	484	476
rbcL|GeneID:4055709|ribulose	GRMZM5G815453_T01.CDS	93.5	0.0	921	2380	485	484	476
psaI|GeneID:4055658|photosystem_I_subunit_VIII	AtCg00510	83.3	7.76e-15	56.6	135	36	38	36
psbJ|GeneID:4055668|photosystem_II_protein_J	AtCg00550	92.5	2.74e-23	78.2	191	40	41	40
psbL|GeneID:4055669|photosystem_II_protein_L	AtCg00560	97.3	1.16e-21	73.9	180	38	39	37
psbF|GeneID:4055670|photosystem_II_protein_VI	AtCg00570	100	2.66e-25	83.2	204	39	40	39
psbE|GeneID:4055671|photosystem_II_protein_V	AtCg00580	97.6	4.88e-58	169	427	83	84	83
psaJ|GeneID:4055676|photosystem_I_subunit_IX	AtCg00630	95.2	8.23e-26	84.7	208	42	45	42
psbB|GeneID:4055665|photosystem_II_47_kDa_protein	AtCg00680	97.0	0.0	1043	2696	508	509	508
psbT|GeneID:4055661|photosystem_II_protein_T	AtCg00690	97.0	1.88e-16	60.5	145	33	34	33
psbN|GeneID:4055687|photosystem_II_protein_N	AtCg00700	100	3.55e-27	88.2	217	43	44	43
psbH|GeneID:4055688|photosystem_II_protein_H	AtCg00710	91.8	7.57e-44	132	332	73	74	73
ndhB|GeneID:4055649|NADH_dehydrogenase_subunit_2	AtCg00890	96.4	1.28e-264	721	1862	510	390	387
ndhH|GeneID:4055621|NADH_dehydrogenase_subunit_7	AtCg01110	90.3	3.57e-274	741	1912	393	394	393
ndhA|GeneID:4055622|NADH_dehydrogenase_subunit_1	AtCg01100	87.6	6.65e-222	606	1562	363	361	363
ndhI|GeneID:4055623|NADH_dehydrogenase_subunit_I	AtCg01090	92.7	1.75e-103	290	743	166	173	165
ndhG|GeneID:4055624|NADH_dehydrogenase_subunit_6	AtCg01080	82.4	1.30e-97	276	706	176	177	176
ndhE|GeneID:4055625|NADH_dehydrogenase_subunit_4L	AtCg01070	90.1	2.85e-54	160	406	101	102	101
psaC|GeneID:4055626|photosystem_I_subunit_VII	AtCg01060	98.8	2.79e-45	136	343	81	82	81
ndhD|GeneID:4055627|NADH_dehydrogenase_subunit_4	AtCg01050	85.1	3.24e-312	846	2186	500	507	498
ndhD|GeneID:4055627|NADH_dehydrogenase_subunit_4	GRMZM5G800096_T01.CDS	81.2	1.25e-302	822	2124	500	516	499
ndhB|GeneID:4055600|NADH_dehydrogenase_subunit_2	AtCg00890	96.4	1.28e-264	721	1862	510	390	387
lcl|NC_035435.2_prot_XP_035843211.1_71	GRMZM2G149567_T01.CDS	85.7	6.08e-06	39.7	91	106	933	21
lcl|NC_035435.2_prot_XP_035843211.1_71	GRMZM2G172230_T01.CDS	85.7	1.13e-05	38.9	89	106	948	21
lcl|NC_035435.2_prot_XP_022027258.1_178	At1g67280	84.2	2.94e-199	548	1411	352	351	310
lcl|NC_035435.2_prot_XP_022027258.1_178	GRMZM2G076006_T02.CDS	87.2	1.25e-190	526	1354	352	348	282
lcl|NC_035435.2_prot_XP_022027258.1_178	GRMZM2G081268_T02.CDS	82.2	1.13e-175	488	1255	352	341	275
lcl|NC_035435.2_prot_XP_022027258.1_178	GRMZM2G076006_T03.CDS	85.9	7.16e-99	289	740	352	249	156
lcl|NC_035435.2_prot_XP_022027258.1_178	GRMZM2G076006_T01.CDS	88.0	3.56e-57	177	449	352	94	92
lcl|NC_035435.2_prot_XP_022027661.1_752	Potri.018G100400	81.1	2.81e-257	701	1809	427	432	429
lcl|NC_035435.2_prot_XP_022027661.1_752	Potri.006G178500	80.2	5.41e-255	695	1794	427	432	429
lcl|NC_035435.2_prot_XP_035844208.1_969	At4g34200	86.0	4.57e-20	81.6	200	147	604	50
lcl|NC_035435.2_prot_XP_035844209.1_970	At4g34200	86.0	4.57e-20	81.6	200	147	604	50
lcl|NC_035435.2_prot_XP_035844210.1_971	At4g34200	86.0	4.57e-20	81.6	200	147	604	50
lcl|NC_035435.2_prot_XP_022027799.1_1138	Potri.018G132300	84.8	2.86e-12	59.7	143	436	117	33
lcl|NC_035435.2_prot_XP_022027801.1_1139	Potri.018G132300	84.8	2.30e-12	59.7	143	369	117	33
lcl|NC_035435.2_prot_XP_022028170.1_1264	At5g19220	81.8	2.37e-298	812	2098	512	523	490
lcl|NC_035435.2_prot_XP_021981854.1_1307	At2g02500	83.0	3.28e-130	369	947	305	303	223
lcl|NC_035435.2_prot_XP_022027749.1_1525	At2g22230	80.6	4.39e-99	283	725	221	221	165
lcl|NC_035435.2_prot_XP_022030540.1_1612	At3g52960	85.7	7.77e-10	50.4	119	110	235	28
lcl|NC_035435.2_prot_XP_022028037.1_2013	A0A8X8C3Q6	91.4	6.69e-102	308	788	166	874	163
lcl|NC_035435.2_prot_XP_022027985.1_2187	At2g05710	84.4	0.0	1677	4343	995	991	990
lcl|NC_035435.2_prot_XP_022027985.1_2187	GRMZM2G020801_T01.CDS	88.1	0.0	1444	3738	995	798	792
lcl|NC_035435.2_prot_XP_022038662.1_2368	At5g09650	80.2	4.27e-154	429	1103	297	301	253
lcl|NC_035435.2_prot_XP_021993748.1_2593	GRMZM2G145595_T01.CDS	85.1	1.29e-85	249	636	167	281	148
lcl|NC_035435.2_prot_XP_021993748.1_2593	GRMZM2G152958_T02.CDS	85.8	8.06e-84	253	647	167	566	148
lcl|NC_035435.2_prot_XP_021993748.1_2593	GRMZM2G073774_T01.CDS	85.8	8.06e-84	253	647	167	566	148
lcl|NC_035435.2_prot_XP_021993748.1_2593	GRMZM2G145595_T02.CDS	85.1	3.28e-82	249	636	167	563	148
lcl|NC_035435.2_prot_XP_021993748.1_2593	GRMZM2G152958_T01.CDS	83.9	3.86e-60	191	485	167	530	112
lcl|NC_035435.2_prot_XP_022028279.1_2621	Potri.011G103700	87.6	0.0	1205	3117	672	671	672
lcl|NC_035435.2_prot_XP_022028279.1_2621	Potri.001G383500	87.5	0.0	1205	3117	672	671	673
lcl|NC_035435.2_prot_XP_022028279.1_2621	Potri.003G120000	81.7	1.04e-170	486	1251	672	303	290
lcl|NC_035435.2_prot_XP_022028279.1_2621	Potri.001G112000	82.0	5.92e-170	484	1246	672	303	284
lcl|NC_035435.2_prot_XP_022028632.1_2889	At5g54810	81.6	7.07e-275	749	1933	465	471	474
lcl|NC_035435.2_prot_XP_022028632.1_2889	At4g27070	85.9	2.32e-272	743	1917	465	476	433
lcl|NC_035435.2_prot_XP_035844378.1_2907	At2g05710	85.7	0.0	1656	4289	974	991	952
lcl|NC_035435.2_prot_XP_035844378.1_2907	GRMZM2G020801_T01.CDS	87.5	0.0	1413	3657	974	798	792
lcl|NC_035435.2_prot_XP_022028555.2_2908	At2g05710	86.3	0.0	1675	4337	980	991	952
lcl|NC_035435.2_prot_XP_022028555.2_2908	GRMZM2G020801_T01.CDS	88.3	0.0	1431	3705	980	798	792
lcl|NC_035435.2_prot_XP_022028674.1_3137	At1g65410	82.3	2.72e-158	443	1140	341	346	266
lcl|NC_035435.2_prot_XP_022028674.1_3137	GRMZM5G868168_T01.CDS	83.3	4.93e-128	362	928	341	218	216
lcl|NC_035435.2_prot_XP_022028849.1_3296	At4g15560	87.1	0.0	1179	3049	713	718	669
lcl|NC_035435.2_prot_XP_035843461.1_3377	At4g15530	83.5	0.0	1482	3837	950	964	889
lcl|NC_035435.2_prot_XP_035843462.1_3378	At4g15530	84.2	0.0	1471	3808	875	964	873
lcl|NC_035435.2_prot_XP_022028960.1_3457	Potri.001G131400	81.7	0.0	1068	2761	603	600	596
lcl|NC_035435.2_prot_XP_022028960.1_3457	Potri.003G102600	81.4	0.0	1057	2733	603	601	596
lcl|NC_035435.2_prot_XP_022028960.1_3457	Potri.003G102400	81.4	0.0	1057	2733	603	601	596
lcl|NC_035435.2_prot_XP_022029101.1_3535	At4g31870	80.6	8.00e-101	289	740	242	234	170
lcl|NC_035435.2_prot_XP_022028984.1_3566	GRMZM2G088305_T01.CDS	96.3	1.48e-08	53.1	126	1134	249	27
lcl|NC_035435.2_prot_XP_022028982.1_3567	GRMZM2G088305_T01.CDS	96.3	1.49e-08	53.1	126	1135	249	27
lcl|NC_035435.2_prot_XP_022028983.1_3568	GRMZM2G088305_T01.CDS	96.3	1.49e-08	53.1	126	1135	249	27
