lcl|NC_028075.1_prot_YP_009172120.1_2	AtCg00020	98.6	3.36e-261	704	1818	353	354	353
lcl|NC_028075.1_prot_YP_009172121.1_3	GRMZM5G836994_T01.CDS	94.7	0.0	970	2508	513	545	513
lcl|NC_028075.1_prot_YP_009172124.1_6	AtCg00080	100	2.42e-20	70.5	171	36	37	36
lcl|NC_028075.1_prot_YP_009172125.1_7	AtCg00270	97.7	2.20e-266	717	1852	353	354	353
lcl|NC_028075.1_prot_YP_009172126.1_8	AtCg00280	96.6	0.0	954	2467	473	474	473
lcl|NC_028075.1_prot_YP_009172127.1_9	AtCg00300	90.3	8.44e-34	106	264	62	63	62
lcl|NC_028075.1_prot_YP_009172128.1_10	AtCg00220	97.1	2.84e-16	60.1	144	34	35	34
lcl|NC_028075.1_prot_YP_009172134.1_16	AtCg00150	90.8	3.95e-164	450	1158	247	250	249
lcl|NC_028075.1_prot_YP_009172135.1_17	AtCg00140	97.5	2.38e-46	139	350	81	82	81
lcl|NC_028075.1_prot_YP_009172137.1_19	AtCg00120	86.7	1.93e-299	814	2103	507	508	505
lcl|NC_028075.1_prot_YP_009172139.1_21	AtCg00340	97.0	0.0	1502	3888	734	735	734
lcl|NC_028075.1_prot_YP_009172140.1_22	AtCg00350	96.5	0.0	1514	3921	750	751	750
lcl|NC_028075.1_prot_YP_009172143.1_25	AtCg00420	82.2	1.29e-100	282	722	159	159	157
lcl|NC_028075.1_prot_YP_009172144.1_26	GRMZM2G448142_T01.CDS	97.2	6.84e-173	473	1216	247	255	247
lcl|NC_028075.1_prot_YP_009172144.1_26	AtCg00430	82.8	1.92e-131	367	941	247	226	227
lcl|NC_028075.1_prot_YP_009172145.1_27	AtCg00440	85.0	3.85e-70	202	514	120	121	120
lcl|NC_028075.1_prot_YP_009172146.1_28	GRMZM2G448142_T03.CDS	93.7	7.83e-45	148	373	137	449	79
lcl|NC_028075.1_prot_YP_009172146.1_28	GRMZM2G448142_T02.CDS	93.7	7.83e-45	148	373	137	449	79
lcl|NC_028075.1_prot_YP_009172147.1_29	GRMZM2G385622_T01.CDS	98.8	0.0	944	2441	498	499	498
lcl|NC_028075.1_prot_YP_009172147.1_29	GRMZM5G808402_T01.CDS	98.8	0.0	944	2441	498	499	498
lcl|NC_028075.1_prot_YP_009172147.1_29	GRMZM2G448389_T01.CDS	98.6	0.0	943	2437	498	499	498
lcl|NC_028075.1_prot_YP_009172147.1_29	AtCg00480	90.6	0.0	871	2250	498	499	498
lcl|NC_028075.1_prot_YP_009172147.1_29	GRMZM2G062854_T01.CDS	98.5	7.02e-287	778	2009	498	410	409
lcl|NC_028075.1_prot_YP_009172147.1_29	GRMZM2G448142_T03.CDS	98.9	3.43e-255	699	1805	498	449	368
lcl|NC_028075.1_prot_YP_009172147.1_29	GRMZM2G448142_T02.CDS	98.9	3.43e-255	699	1805	498	449	368
lcl|NC_028075.1_prot_YP_009172148.1_30	GRMZM2G360821_T01.CDS	96.6	0.0	954	2467	475	484	476
lcl|NC_028075.1_prot_YP_009172148.1_30	GRMZM2G385635_T01.CDS	96.6	0.0	954	2467	475	484	476
lcl|NC_028075.1_prot_YP_009172148.1_30	GRMZM2G448344_T01.CDS	96.6	0.0	954	2467	475	484	476
lcl|NC_028075.1_prot_YP_009172148.1_30	GRMZM5G815453_T01.CDS	96.6	0.0	954	2467	475	484	476
lcl|NC_028075.1_prot_YP_009172148.1_30	AtCg00490	93.1	0.0	925	2391	475	480	475
lcl|NC_028075.1_prot_YP_009172149.1_31	AtCg00510	88.9	1.34e-15	58.5	140	36	38	36
lcl|NC_028075.1_prot_YP_009172153.1_35	AtCg00550	92.5	1.12e-22	76.6	187	40	41	40
lcl|NC_028075.1_prot_YP_009172154.1_36	AtCg00560	97.4	1.40e-22	76.3	186	38	39	38
lcl|NC_028075.1_prot_YP_009172155.1_37	AtCg00570	97.4	6.30e-24	79.7	195	39	40	39
lcl|NC_028075.1_prot_YP_009172156.1_38	AtCg00580	97.6	1.64e-56	165	417	83	84	83
lcl|NC_028075.1_prot_YP_009172159.1_41	AtCg00630	92.9	1.66e-25	84.0	206	42	45	42
