psbA|GeneID:67273204|photosystem_II_protein_D1	AtCg00020	98.9	3.50e-263	709	1831	353	354	353
psbI|GeneID:67273210|photosystem_II_protein_I	AtCg00080	100	2.42e-20	70.5	171	36	37	36
atpA|GeneID:67273214|ATP_synthase_CF1_alpha_subunit	AtCg00120	92.7	0.0	881	2276	507	508	505
atpF|GeneID:67273215|ATP_synthase_CF0_subunit_I	AtCg00130	81.0	2.22e-102	289	739	184	185	184
atpH|GeneID:67273216|ATP_synthase_CF0_subunit_III	AtCg00140	98.8	5.85e-47	140	354	81	82	81
atpI|GeneID:67273217|ATP_synthase_CF0_subunit_IV	AtCg00150	93.2	1.82e-167	459	1180	248	250	250
psbM|GeneID:67273224|photosystem_II_protein_M	AtCg00220	100	6.97e-17	61.6	148	34	35	34
psbD|GeneID:67273229|photosystem_II_protein_D2	AtCg00270	98.6	2.68e-267	720	1858	353	354	353
psbC|GeneID:67273230|photosystem_II_CP43_chlorophyll_apoprotein	AtCg00280	97.0	0.0	962	2486	473	474	473
psbZ|GeneID:67273232|photosystem_II_protein_Z	AtCg00300	98.4	1.24e-35	110	276	62	63	61
psaB|GeneID:67273236|photosystem_I_P700_apoprotein_A2	AtCg00340	97.0	0.0	1504	3895	734	735	734
psaA|GeneID:67273237|photosystem_I_P700_apoprotein_A1	AtCg00350	97.3	0.0	1517	3928	750	751	750
ndhJ|GeneID:67273244|NADH	AtCg00420	87.3	2.96e-108	301	772	158	159	158
ndhK|GeneID:67273245|NADH	AtCg00430	87.6	6.06e-143	395	1014	225	226	225
ndhK|GeneID:67273245|NADH	GRMZM2G448142_T01.CDS	82.8	9.54e-133	370	950	225	255	227
ndhC|GeneID:67273246|NADH	AtCg00440	85.8	4.68e-71	204	520	120	121	120
atpE|GeneID:67273249|ATP_synthase_CF1_epsilon_subunit	AtCg00470	90.2	8.71e-80	228	580	134	133	132
atpB|GeneID:67273250|ATP_synthase_CF1_beta_subunit	AtCg00480	93.8	0.0	894	2310	498	499	498
atpB|GeneID:67273250|ATP_synthase_CF1_beta_subunit	GRMZM2G385622_T01.CDS	91.6	0.0	877	2267	498	499	498
atpB|GeneID:67273250|ATP_synthase_CF1_beta_subunit	GRMZM5G808402_T01.CDS	91.6	0.0	877	2267	498	499	498
atpB|GeneID:67273250|ATP_synthase_CF1_beta_subunit	GRMZM2G448389_T01.CDS	91.4	0.0	876	2263	498	499	498
atpB|GeneID:67273250|ATP_synthase_CF1_beta_subunit	GRMZM2G062854_T01.CDS	91.2	2.41e-264	721	1861	498	410	409
atpB|GeneID:67273250|ATP_synthase_CF1_beta_subunit	GRMZM2G448142_T03.CDS	95.4	3.77e-245	674	1739	498	449	368
atpB|GeneID:67273250|ATP_synthase_CF1_beta_subunit	GRMZM2G448142_T02.CDS	95.4	3.77e-245	674	1739	498	449	368
rbcL|GeneID:67273251|ribulose	AtCg00490	92.8	0.0	912	2356	475	480	475
rbcL|GeneID:67273251|ribulose	GRMZM2G360821_T01.CDS	92.9	0.0	911	2354	475	484	476
rbcL|GeneID:67273251|ribulose	GRMZM2G385635_T01.CDS	92.9	0.0	911	2354	475	484	476
rbcL|GeneID:67273251|ribulose	GRMZM2G448344_T01.CDS	92.9	0.0	911	2354	475	484	476
rbcL|GeneID:67273251|ribulose	GRMZM5G815453_T01.CDS	92.9	0.0	911	2354	475	484	476
psaI|GeneID:67273253|photosystem_I_subunit_VIII	AtCg00510	87.1	1.57e-14	55.8	133	36	38	31
psbJ|GeneID:67273256|photosystem_II_protein_J	AtCg00550	92.5	1.12e-22	76.6	187	40	41	40
psbL|GeneID:67273257|photosystem_II_protein_L	AtCg00560	97.3	5.02e-22	75.1	183	43	39	37
psbF|GeneID:67273258|photosystem_II_cytochrome_b559_beta_subunit	AtCg00570	97.4	6.30e-24	79.7	195	39	40	39
psbE|GeneID:67273259|photosystem_II_cytochrome_b559_alpha_subunit	AtCg00580	96.4	2.83e-57	167	422	83	84	83
psaJ|GeneID:67273264|photosystem_I_subunit_IX	AtCg00630	95.5	1.88e-27	89.0	219	44	45	44
psbB|GeneID:67273270|photosystem_II_CP47_chlorophyll_apoprotein	AtCg00680	95.9	0.0	1028	2659	508	509	508
psbT|GeneID:67273271|photosystem_II_protein_T	AtCg00690	90.9	2.93e-16	60.1	144	35	34	33
psbN|GeneID:67273272|photosystem_II_protein_N	AtCg00700	100	3.55e-27	88.2	217	43	44	43
psbH|GeneID:67273273|photosystem_II_phosphoprotein	AtCg00710	90.4	8.85e-43	129	325	73	74	73
ndhB|GeneID:67273291|NADH	AtCg00890	95.1	1.22e-262	716	1849	510	390	387
ndhD|GeneID:67273307|NADH	AtCg01050	83.6	6.92e-307	833	2151	500	507	499
ndhD|GeneID:67273307|NADH	GRMZM5G800096_T01.CDS	81.3	3.97e-299	813	2101	500	516	498
psaC|GeneID:67273308|photosystem_I_subunit_VII	AtCg01060	98.8	1.38e-45	137	345	81	82	81
ndhE|GeneID:67273309|NADH	AtCg01070	86.1	1.16e-53	159	402	101	102	101
ndhI|GeneID:67273311|NADH	AtCg01090	90.3	9.44e-100	281	720	179	173	165
ndhA|GeneID:67273312|NADH	AtCg01100	83.4	2.56e-207	569	1466	361	361	355
ndhB|GeneID:67273325|NADH	AtCg00890	95.1	1.22e-262	716	1849	510	390	387
lcl|NC_045140.1_prot_XP_031480791.1_60	At2g44350	81.6	2.63e-291	791	2042	471	475	472
lcl|NC_045140.1_prot_XP_031480792.1_61	At2g44350	81.6	2.63e-291	791	2042	471	475	472
lcl|NC_045140.1_prot_XP_031480793.1_62	At2g44350	81.6	2.63e-291	791	2042	471	475	472
lcl|NC_045140.1_prot_XP_031480524.1_170	At4g24830	84.0	7.12e-264	721	1861	445	495	424
lcl|NC_045140.1_prot_XP_031481913.1_205	GRMZM5G868168_T03.CDS	80.0	9.51e-167	464	1194	357	313	285
lcl|NC_045140.1_prot_XP_031481913.1_205	GRMZM5G868168_T01.CDS	84.7	6.98e-132	372	955	357	218	216
lcl|NC_045140.1_prot_XP_031480301.1_647	A0A7G2DUG9	83.7	2.54e-186	535	1379	321	963	312
lcl|NC_045140.1_prot_XP_031480744.1_729	Potri.001G320500	91.8	0.0	902	2331	485	486	485
lcl|NC_045140.1_prot_XP_031480744.1_729	Potri.017G059400	91.8	0.0	899	2324	485	486	485
lcl|NC_045140.1_prot_XP_031479697.1_1118	At5g40870	84.9	4.84e-294	798	2060	460	487	471
lcl|NC_045140.1_prot_XP_031479697.1_1118	At3g27190	83.2	3.94e-290	788	2034	460	484	471
lcl|NC_045140.1_prot_XP_031479697.1_1118	GRMZM5G866100_T01.CDS	80.7	6.93e-288	782	2020	460	491	482
lcl|NC_045140.1_prot_XP_031479548.1_1233	GRMZM2G088305_T01.CDS	90.6	7.97e-10	57.0	136	1148	249	32
lcl|NC_045140.1_prot_XP_031479547.1_1234	GRMZM2G088305_T01.CDS	90.6	7.98e-10	57.0	136	1149	249	32
lcl|NC_045140.1_prot_XP_031479549.1_1235	GRMZM2G088305_T01.CDS	90.6	7.88e-10	57.0	136	1137	249	32
lcl|NC_045140.1_prot_XP_031481394.1_1253	At4g34200	82.8	4.39e-320	875	2261	617	604	545
lcl|NC_045140.1_prot_XP_031481394.1_1253	At3g19480	80.8	5.66e-310	849	2193	617	589	543
lcl|NC_045140.1_prot_XP_031479996.1_1902	GRMZM2G082185_T01.CDS	83.7	1.31e-201	557	1435	384	399	338
lcl|NC_045140.1_prot_XP_031479996.1_1902	At2g43750	80.1	8.11e-192	532	1370	384	393	337
lcl|NC_045140.1_prot_XP_031481322.1_2068	At4g31990	84.0	2.48e-269	734	1895	467	454	430
lcl|NC_045140.1_prot_XP_031481322.1_2068	AT4G31990	84.1	2.00e-268	732	1890	467	463	428
