psbA|GeneID:54111059|photosystem_II_protein_D1	AtCg00020	99.4	2.76e-262	707	1825	352	354	353
psbK|GeneID:54110935|photosystem_II_protein_K	AtCg00070	82.0	5.16e-30	96.7	239	61	62	61
psbI|GeneID:54110936|photosystem_II_protein_I	AtCg00080	100	2.42e-20	70.5	171	36	37	36
atpA|GeneID:54110940|ATP_synthase_CF1_alpha_subunit	AtCg00120	94.7	0.0	899	2322	507	508	505
atpF|GeneID:54110941|ATP_synthase_CF0_subunit_I	AtCg00130	88.0	5.34e-110	308	789	184	185	184
atpH|GeneID:54110942|ATP_synthase_CF0_subunit_III	AtCg00140	98.8	5.85e-47	140	354	81	82	81
atpI|GeneID:54110943|ATP_synthase_CF0_subunit_IV	AtCg00150	93.6	4.30e-168	460	1184	247	250	249
psbM|GeneID:54110950|photosystem_II_protein_M	AtCg00220	100	6.97e-17	61.6	148	34	35	34
psbD|GeneID:54110955|photosystem_II_protein_D2	AtCg00270	98.9	9.34e-268	721	1861	353	354	353
psbC|GeneID:54110956|photosystem_II_CP43_chlorophyll_apoprotein	AtCg00280	98.1	0.0	971	2510	473	474	473
psbZ|GeneID:54110958|photosystem_II_protein_Z	AtCg00300	95.2	2.51e-35	110	274	62	63	62
psaB|GeneID:54110962|photosystem_I_P700_apoprotein_A2	AtCg00340	97.7	0.0	1507	3902	734	735	734
psaA|GeneID:54110963|photosystem_I_P700_apoprotein_A1	AtCg00350	98.0	0.0	1522	3941	750	751	750
ndhJ|GeneID:54110970|NADH	AtCg00420	89.2	5.32e-111	308	790	158	159	158
ndhK|GeneID:54110971|NADH	AtCg00430	88.9	3.82e-146	403	1035	225	226	225
ndhK|GeneID:54110971|NADH	GRMZM2G448142_T01.CDS	82.4	1.92e-132	369	948	225	255	227
ndhC|GeneID:54110972|NADH	AtCg00440	90.0	2.94e-74	213	541	120	121	120
atpE|GeneID:54110975|ATP_synthase_CF1_epsilon_subunit	AtCg00470	90.2	1.69e-79	227	578	133	133	132
atpB|GeneID:54110976|ATP_synthase_CF1_beta_subunit	AtCg00480	93.8	0.0	900	2325	498	499	498
atpB|GeneID:54110976|ATP_synthase_CF1_beta_subunit	GRMZM2G385622_T01.CDS	92.4	0.0	890	2301	498	499	498
atpB|GeneID:54110976|ATP_synthase_CF1_beta_subunit	GRMZM5G808402_T01.CDS	92.4	0.0	890	2301	498	499	498
atpB|GeneID:54110976|ATP_synthase_CF1_beta_subunit	GRMZM2G448389_T01.CDS	92.2	0.0	889	2297	498	499	498
atpB|GeneID:54110976|ATP_synthase_CF1_beta_subunit	GRMZM2G062854_T01.CDS	91.9	1.87e-268	731	1888	498	410	409
atpB|GeneID:54110976|ATP_synthase_CF1_beta_subunit	GRMZM2G448142_T03.CDS	96.5	2.94e-249	684	1766	498	449	368
