psbA|photosystem_II_protein_D1	AtCg00020	99.7	2.11e-264	712	1839	353	354	353
psbK|photosystem_II_protein_K	AtCg00070	80.3	2.99e-29	94.7	234	61	62	61
psbI|photosystem_II_protein_I	AtCg00080	100	2.42e-20	70.5	171	36	37	36
atpA|ATP_synthase_CF1_alpha_subunit	AtCg00120	94.3	0.0	887	2293	507	508	505
atpF|ATP_synthase_CF0_B_subunit	AtCg00130	87.5	3.09e-109	306	784	184	185	184
atpH|ATP_synthase_CF0_C_subunit	AtCg00140	98.8	5.85e-47	140	354	81	82	81
atpI|ATP_synthase_CF0_A_subunit	AtCg00150	92.8	6.11e-168	460	1183	247	250	249
psbM|photosystem_II_protein_M	AtCg00220	100	6.97e-17	61.6	148	34	35	34
psbD|photosystem_II_protein_D2	AtCg00270	98.6	5.40e-267	719	1856	353	354	353
psbC|photosystem_II_44_kDa_protein	AtCg00280	98.3	0.0	973	2516	473	474	473
psbZ|photosystem_II_protein_Z	AtCg00300	98.4	3.05e-36	112	280	62	63	62
psaB|photosystem_I_P700_chlorophyll_a_apoprotein_A2	AtCg00340	98.1	0.0	1514	3919	734	735	734
psaA|photosystem_I_P700_chlorophyll_a_apoprotein_A1	AtCg00350	98.1	0.0	1524	3946	750	751	750
ndhJ|NADH_dehydrogenase_subunit_J	AtCg00420	89.9	3.74e-111	309	791	158	159	158
ndhK|NADH_dehydrogenase_subunit_K	GRMZM2G448142_T01.CDS	83.7	4.64e-141	393	1010	273	255	245
ndhK|NADH_dehydrogenase_subunit_K	AtCg00430	89.7	1.23e-136	381	978	273	226	213
ndhC|NADH_dehydrogenase_subunit_3	AtCg00440	88.3	2.41e-73	210	535	120	121	120
atpE|ATP_synthase_CF1_epsilon_subunit	AtCg00470	90.9	1.45e-80	229	585	133	133	132
atpB|ATP_synthase_CF1_beta_subunit	AtCg00480	94.2	0.0	907	2343	498	499	498
atpB|ATP_synthase_CF1_beta_subunit	GRMZM2G385622_T01.CDS	92.6	0.0	892	2306	498	499	498
atpB|ATP_synthase_CF1_beta_subunit	GRMZM5G808402_T01.CDS	92.6	0.0	892	2306	498	499	498
atpB|ATP_synthase_CF1_beta_subunit	GRMZM2G448389_T01.CDS	92.4	0.0	891	2302	498	499	498
atpB|ATP_synthase_CF1_beta_subunit	GRMZM2G062854_T01.CDS	91.9	1.32e-268	732	1889	498	410	409
atpB|ATP_synthase_CF1_beta_subunit	GRMZM2G448142_T03.CDS	95.4	4.61e-246	676	1745	498	449	368
atpB|ATP_synthase_CF1_beta_subunit	GRMZM2G448142_T02.CDS	95.4	4.61e-246	676	1745	498	449	368
rbcL|ribulose	AtCg00490	94.5	0.0	930	2403	475	480	475
rbcL|ribulose	GRMZM2G360821_T01.CDS	94.1	0.0	926	2392	475	484	476
rbcL|ribulose	GRMZM2G385635_T01.CDS	94.1	0.0	926	2392	475	484	476
rbcL|ribulose	GRMZM2G448344_T01.CDS	94.1	0.0	926	2392	475	484	476
rbcL|ribulose	GRMZM5G815453_T01.CDS	94.1	0.0	926	2392	475	484	476
psaI|photosystem_I_subunit_VIII	AtCg00510	91.7	3.28e-16	60.1	144	36	38	36
psbJ|photosystem_II_protein_J	AtCg00550	92.5	6.50e-22	74.7	182	40	41	40
psbL|photosystem_II_protein_L	AtCg00560	97.3	1.16e-21	73.9	180	38	39	37
psbF|photosystem_II_protein_VI	AtCg00570	100	2.66e-25	83.2	204	39	40	39
