psbA|photosystem_II_protein_D1	AtCg00020	99.4	8.59e-264	711	1835	353	354	353
psbK|photosystem_II_protein_K	AtCg00070	82.0	8.58e-29	93.6	231	61	62	61
psbI|photosystem_II_protein_I	AtCg00080	100	2.42e-20	70.5	171	36	37	36
atpA|ATP_synthase_CF1_alpha_subunit	AtCg00120	93.5	0.0	889	2298	507	508	507
atpF|ATP_synthase_CF0_subunit_I	AtCg00130	80.4	3.01e-99	281	719	189	185	189
atpH|ATP_synthase_CF0_subunit_III	AtCg00140	97.5	1.68e-46	139	351	81	82	81
atpI|ATP_synthase_CF0_subunit_IV	AtCg00150	94.8	3.69e-169	463	1191	247	250	249
psbM|photosystem_II_protein_M	AtCg00220	97.1	8.17e-16	58.9	141	34	35	34
psbD|photosystem_II_protein_D2	AtCg00270	99.2	1.14e-268	723	1867	353	354	353
psbC|photosystem_II_CP43_chlorophyll_apoprotein	AtCg00280	97.7	0.0	968	2502	473	474	473
lhbA|LhbA	AtCg00300	96.8	6.15e-36	111	278	62	63	62
psaB|photosystem_I_P700_apoprotein_A2	AtCg00340	97.4	0.0	1500	3884	734	735	734
psaA|photosystem_I_P700_apoprotein_A1	AtCg00350	97.9	0.0	1523	3942	750	751	750
ndhJ|NADH	AtCg00420	91.1	1.59e-112	312	800	158	159	158
ndhK|NADH	AtCg00430	88.5	5.18e-142	392	1008	226	226	226
ndhK|NADH	GRMZM2G448142_T01.CDS	85.0	3.63e-135	376	966	226	255	226
ndhC|NADH	AtCg00440	90.8	5.07e-75	214	546	120	121	120
atpE|ATP_synthase_CF1_epsilon_subunit	AtCg00470	92.3	1.76e-81	232	591	133	133	130
atpB|ATP_synthase_CF1_beta_subunit	AtCg00480	94.2	0.0	907	2345	498	499	498
atpB|ATP_synthase_CF1_beta_subunit	GRMZM2G385622_T01.CDS	92.4	0.0	891	2303	498	499	498
atpB|ATP_synthase_CF1_beta_subunit	GRMZM5G808402_T01.CDS	92.4	0.0	891	2303	498	499	498
atpB|ATP_synthase_CF1_beta_subunit	GRMZM2G448389_T01.CDS	92.2	0.0	890	2299	498	499	498
atpB|ATP_synthase_CF1_beta_subunit	GRMZM2G062854_T01.CDS	92.4	3.96e-270	736	1899	498	410	409
atpB|ATP_synthase_CF1_beta_subunit	GRMZM2G448142_T03.CDS	96.2	4.85e-248	681	1758	498	449	368
atpB|ATP_synthase_CF1_beta_subunit	GRMZM2G448142_T02.CDS	96.2	4.85e-248	681	1758	498	449	368
rbcL|ribulose_1	AtCg00490	94.7	0.0	935	2416	475	480	475
rbcL|ribulose_1	GRMZM2G360821_T01.CDS	93.5	0.0	926	2394	475	484	476
rbcL|ribulose_1	GRMZM2G385635_T01.CDS	93.5	0.0	926	2394	475	484	476
rbcL|ribulose_1	GRMZM2G448344_T01.CDS	93.5	0.0	926	2394	475	484	476
rbcL|ribulose_1	GRMZM5G815453_T01.CDS	93.5	0.0	926	2394	475	484	476
psaI|photosystem_I_subunit_VIII	AtCg00510	83.8	2.05e-17	63.2	152	37	38	37
psbJ|photosystem_II_protein_J	AtCg00550	95.0	3.90e-23	77.8	190	40	41	40
