psbA|GeneID:8890537|photosystem_II_Q	AtCg00020	98.9	5.80e-262	706	1823	353	354	353
psbI|GeneID:8890483|photosystem_II_protein_I	AtCg00080	100	5.63e-21	72.8	177	51	37	36
psbI|GeneID:9405978|photosystem_II_protein_I	AtCg00080	100	2.42e-20	70.5	171	36	37	36
atpA|GeneID:8890486|ATP_synthase_CF1_alpha_chain	AtCg00120	93.7	0.0	886	2289	514	508	505
atpF|GeneID:8890487|ATP_synthase_CF0_B_chain_subunit_I	AtCg00130	81.5	1.10e-102	290	741	184	185	184
atpH|GeneID:8890600|ATP_synthase_CF0_C_chain_subunit_III	AtCg00140	98.8	5.85e-47	140	354	81	82	81
atpI|GeneID:8890488|ATP_synthase_CF0_A_chain_subunit_IV	AtCg00150	90.8	1.61e-163	449	1154	247	250	249
psbM|GeneID:8890494|photosystem_II_protein_M	AtCg00220	100	6.97e-17	61.6	148	34	35	34
psbD|GeneID:8890499|photosystem_II_D2_protein	AtCg00270	98.3	3.13e-266	717	1851	353	354	353
psbC|GeneID:8890500|photosystem_II_44_kDa_apoprotein	AtCg00280	97.9	0.0	964	2491	473	474	473
psbZ|GeneID:8890502|photosystem_II_protein_Z	AtCg00300	95.2	1.20e-33	105	263	62	63	62
psaB|GeneID:8890506|photosystem_I_P700_chlorophyll_A_apoprotein_A2	AtCg00340	96.6	0.0	1497	3875	734	735	734
psaA|GeneID:8890507|photosystem_I_P700_chlorophyll_A_apoprotein_A1	AtCg00350	96.4	0.0	1515	3922	750	751	750
ndhJ|GeneID:8890512|NADH	AtCg00420	82.8	3.71e-100	281	719	159	159	157
ndhK|GeneID:8890513|NADH	GRMZM2G448142_T01.CDS	85.9	4.10e-151	418	1074	255	255	249
ndhK|GeneID:8890513|NADH	AtCg00430	86.2	1.29e-138	385	989	255	226	225
ndhC|GeneID:8890514|NADH	AtCg00440	87.5	1.20e-73	211	537	120	121	120
atpE|GeneID:8890516|ATP_synthase_CF1_epsilon_chain	AtCg00470	86.4	3.26e-75	216	550	134	133	132
atpB|GeneID:8890517|ATP_synthase_CF1_beta_chain	AtCg00480	93.8	0.0	897	2318	498	499	498
atpB|GeneID:8890517|ATP_synthase_CF1_beta_chain	GRMZM2G385622_T01.CDS	92.8	0.0	889	2298	498	499	498
atpB|GeneID:8890517|ATP_synthase_CF1_beta_chain	GRMZM5G808402_T01.CDS	92.8	0.0	889	2298	498	499	498
atpB|GeneID:8890517|ATP_synthase_CF1_beta_chain	GRMZM2G448389_T01.CDS	92.6	0.0	888	2294	498	499	498
atpB|GeneID:8890517|ATP_synthase_CF1_beta_chain	GRMZM2G062854_T01.CDS	92.2	1.53e-267	729	1882	498	410	409
atpB|GeneID:8890517|ATP_synthase_CF1_beta_chain	GRMZM2G448142_T03.CDS	95.9	1.61e-246	677	1748	498	449	368
atpB|GeneID:8890517|ATP_synthase_CF1_beta_chain	GRMZM2G448142_T02.CDS	95.9	1.61e-246	677	1748	498	449	368
rbcL|GeneID:8890518|ribulose	GRMZM2G360821_T01.CDS	93.0	0.0	928	2398	484	484	483
rbcL|GeneID:8890518|ribulose	GRMZM2G385635_T01.CDS	93.0	0.0	928	2398	484	484	483
rbcL|GeneID:8890518|ribulose	GRMZM2G448344_T01.CDS	93.0	0.0	928	2398	484	484	483
rbcL|GeneID:8890518|ribulose	GRMZM5G815453_T01.CDS	93.0	0.0	928	2398	484	484	483
rbcL|GeneID:8890518|ribulose	AtCg00490	93.5	0.0	924	2388	484	480	476
psaI|GeneID:8890604|photosystem_I_reaction_center_subunit_VIII	AtCg00510	90.3	9.10e-14	53.9	128	36	38	31
psbJ|GeneID:8890524|photosystem_II_protein_J	AtCg00550	95.0	7.87e-23	77.0	188	40	41	40
psbL|GeneID:8890525|photosystem_II_protein_L	AtCg00560	97.4	1.40e-22	76.3	186	38	39	38
psbF|GeneID:8890526|cytochrome_b559_beta_chain	AtCg00570	97.4	6.30e-24	79.7	195	39	40	39
psbE|GeneID:8890527|cytochrome_b559_alpha_chain	AtCg00580	97.6	9.86e-58	168	425	83	84	83
psaJ|GeneID:8890532|photosystem_I_reaction_center_subunit_IX	AtCg00630	93.2	1.09e-26	87.0	214	44	45	44
psbB|GeneID:8890597|photosystem_II_p680_chlorophyll_A_apoprotein	AtCg00680	97.0	0.0	1036	2678	508	509	508
psbT|GeneID:8890538|photosystem_II_protein_T	AtCg00690	93.8	4.16e-16	59.7	143	35	34	32
psbN|GeneID:8890539|photosystem_II_protein_N	AtCg00700	97.7	4.17e-26	85.5	210	43	44	43
psbH|GeneID:8890540|photosystem_II_10_kDa_phosphoprotein	AtCg00710	91.8	1.53e-43	131	330	73	74	73
ndhB|GeneID:8890559|NADH	AtCg00890	94.6	2.85e-261	713	1840	510	390	387
ndhD|GeneID:8890572|NADH	GRMZM5G800096_T01.CDS	87.3	0.0	876	2264	501	516	497
ndhD|GeneID:8890572|NADH	AtCg01050	82.4	2.79e-304	826	2134	501	507	499
psaC|GeneID:8890573|photosystem_I_iron	AtCg01060	98.8	3.96e-45	136	342	81	82	81
ndhE|GeneID:8890610|NADH	AtCg01070	82.0	3.72e-50	150	379	101	102	100
ndhG|GeneID:8890575|NADH	AtCg01080	80.7	5.64e-92	262	669	176	177	176
ndhA|GeneID:8890577|NADH	AtCg01100	83.5	3.93e-207	568	1465	363	361	363
ndhH|GeneID:8890611|NADH	AtCg01110	89.8	5.67e-271	733	1891	393	394	393
ndhB|GeneID:8890589|NADH	AtCg00890	94.6	2.85e-261	713	1840	510	390	387
lcl|NC_052394.1_prot_XP_008801602.2_21	GRMZM2G162282_T01.CDS	82.7	3.99e-266	727	1876	476	464	428
lcl|NC_052394.1_prot_XP_008801635.2_38	Potri.010G198800	87.3	5.89e-234	636	1641	361	362	361
lcl|NC_052394.1_prot_XP_008801635.2_38	Potri.008G060100	87.0	1.14e-231	630	1626	361	362	361
lcl|NC_052394.1_prot_XP_008801635.2_38	Potri.006G090300	85.3	2.33e-224	612	1578	361	362	361
lcl|NC_052394.1_prot_XP_008801636.2_39	Potri.010G198800	87.3	5.89e-234	636	1641	361	362	361
lcl|NC_052394.1_prot_XP_008801636.2_39	Potri.008G060100	87.0	1.14e-231	630	1626	361	362	361
lcl|NC_052394.1_prot_XP_008801636.2_39	Potri.006G090300	85.3	2.33e-224	612	1578	361	362	361
lcl|NC_052394.1_prot_XP_008801637.2_40	Potri.010G198800	86.4	4.78e-230	626	1615	358	362	361
lcl|NC_052394.1_prot_XP_008801637.2_40	Potri.008G060100	86.1	9.21e-228	620	1600	358	362	361
lcl|NC_052394.1_prot_XP_008801637.2_40	Potri.006G090300	84.5	1.89e-220	602	1552	358	362	361
lcl|NC_052394.1_prot_XP_008811481.1_100	Potri.003G125400	97.9	0.0	873	2255	446	447	432
lcl|NC_052394.1_prot_XP_008811481.1_100	Potri.001G246900	97.2	0.0	871	2251	446	450	432
lcl|NC_052394.1_prot_XP_008811481.1_100	Potri.001G106100	97.5	0.0	869	2245	446	448	432
lcl|NC_052394.1_prot_XP_008811481.1_100	Potri.009G040200	97.0	0.0	868	2244	446	451	432
lcl|NC_052394.1_prot_XP_008811481.1_100	Potri.009G067200	96.8	0.0	864	2233	446	447	432
lcl|NC_052394.1_prot_XP_008811481.1_100	Potri.016G033200	96.8	0.0	864	2233	446	451	432
lcl|NC_052394.1_prot_XP_008811481.1_100	Potri.006G035400	97.0	0.0	864	2232	446	449	432
lcl|NC_052394.1_prot_XP_008811481.1_100	Potri.009G067100	94.4	1.69e-320	862	2228	446	447	446
lcl|NC_052394.1_prot_XP_008811481.1_100	Potri.006G095000	96.5	1.70e-320	862	2228	446	445	432
lcl|NC_052394.1_prot_XP_008811481.1_100	Potri.001G272800	96.3	3.40e-320	862	2226	446	446	432
lcl|NC_052394.1_prot_XP_008784520.2_224	GRMZM2G110063_T01.CDS	80.6	3.91e-143	407	1047	452	298	252
lcl|NC_052394.1_prot_XP_038980114.1_237	Potri.010G207200	90.2	5.37e-239	648	1671	348	347	346
lcl|NC_052394.1_prot_XP_038980114.1_237	Potri.008G053100	89.9	3.62e-237	643	1659	348	347	346
lcl|NC_052394.1_prot_XP_038980114.1_237	Potri.001G237200	88.4	1.76e-228	621	1602	348	347	344
lcl|NC_052394.1_prot_XP_038980115.1_238	Potri.010G207200	90.2	5.37e-239	648	1671	348	347	346
lcl|NC_052394.1_prot_XP_038980115.1_238	Potri.008G053100	89.9	3.62e-237	643	1659	348	347	346
lcl|NC_052394.1_prot_XP_038980115.1_238	Potri.001G237200	88.4	1.76e-228	621	1602	348	347	344
lcl|NC_052394.1_prot_XP_038980116.1_239	Potri.010G207200	90.2	5.37e-239	648	1671	348	347	346
lcl|NC_052394.1_prot_XP_038980116.1_239	Potri.008G053100	89.9	3.62e-237	643	1659	348	347	346
