psbA|GeneID:32282086|photosystem_II_protein_D1	AtCg00020	100	1.05e-264	713	1841	353	354	353
psbK|GeneID:32282085|photosystem_II_protein_K	AtCg00070	95.1	6.73e-35	108	271	61	62	61
psbI|GeneID:32282149|photosystem_II_protein_I	AtCg00080	100	2.42e-20	70.5	171	36	37	36
atpA|GeneID:32282083|ATP_synthase_CF1_alpha_subunit	AtCg00120	99.0	0.0	941	2431	507	508	507
atpF|GeneID:32282099|ATP_synthase_CF0_B_subunit	AtCg00130	96.7	1.45e-123	342	878	184	185	184
atpH|GeneID:32282107|ATP_synthase_CF0_C_subunit	AtCg00140	100	4.11e-47	141	355	81	82	81
atpI|GeneID:32282131|ATP_synthase_CF0_A_subunit	AtCg00150	98.0	4.73e-177	483	1243	249	250	249
psbM|GeneID:32282151|photosystem_II_protein_M	AtCg00220	94.1	5.75e-16	59.3	142	34	35	34
psbD|GeneID:32282088|photosystem_II_protein_D2	AtCg00270	100	3.40e-270	727	1877	353	354	353
psbC|GeneID:32282140|photosystem_II_44_kDa_protein	AtCg00280	100	0.0	990	2559	473	474	473
psbZ|GeneID:32282079|photosystem_II_protein_Z	AtCg00300	100	1.06e-36	113	283	62	63	62
psaB|GeneID:32282147|photosystem_I_P700_chlorophyll_a_apoprotein_A2	AtCg00340	99.7	0.0	1531	3965	734	735	734
psaA|GeneID:32282097|photosystem_I_P700_chlorophyll_a_apoprotein_A1	AtCg00350	99.6	0.0	1545	3999	750	751	750
ndhJ|GeneID:32282093|NADH_dehydrogenase_subunit_J	AtCg00420	98.7	3.21e-121	334	857	158	159	158
ndhK|GeneID:32282104|NADH_dehydrogenase_subunit_K	AtCg00430	97.8	6.51e-163	445	1145	225	226	225
ndhK|GeneID:32282104|NADH_dehydrogenase_subunit_K	GRMZM2G448142_T01.CDS	83.7	2.02e-134	374	961	225	255	227
ndhC|GeneID:32282103|NADH_dehydrogenase_subunit_3	AtCg00440	99.2	2.83e-81	230	587	120	121	120
atpE|GeneID:32282061|ATP_synthase_CF1_epsilon_subunit	AtCg00470	98.5	3.16e-86	244	622	132	133	132
atpB|GeneID:32282106|ATP_synthase_CF1_beta_subunit	AtCg00480	98.4	0.0	941	2432	498	499	498
